3
OBI	-27.628
BEA	-27.4858
MOI	-25.5516
ASA	-24.0925
ABS	-23.8688
ABA	-23.1814
ISA	-20.8657
MEI	-17.9766
IBE	-15.576
AMI	-14.2149
RIS	-13.7416
BIS	-13.7328
SOI	-13.479
IGO	-13.0353
IDO	-10.8181
MMX	-10.7798
UNU	-10.4187
DOI	-8.70438
IFI	-8.12228
IAM	-5.21647
OSX	-2.00654

4
TOTE	-36.7843
TOMY	-31.8383
AROW	-30.8751
ADAM	-30.4221
ANAI	-29.5446
GOTA	-29.1675
METO	-29.1214
WASA	-28.9754
ALOT	-27.8383
OFMY	-26.7683
ANIP	-26.6643
TOME	-26.6213
ILAY	-25.4782
ABIT	-24.9626
AMAP	-24.8859
PROA	-24.8671
MAPA	-24.7444
UPTO	-24.6263
APAR	-24.3006
AMAD	-24.2924
ABOY	-24.282
APET	-24.2399
AHAT	-24.2321
ARIB	-24.2183
AHUG	-24.2039
ADIM	-24.1879
ALOG	-24.1755
ABET	-24.1522
AGIG	-24.1442
ADIP	-24.1209
ABID	-24.1107
ACOW	-24.0875
ACOP	-24.08
ABIG	-24.0758
ASAN	-24.0758
AGUY	-24.0437
TODO	-24.0429
ANET	-24.0114
AJUG	-24.0048
ATIE	-23.9989
ABAD	-23.9975
AFEE	-23.8888
AJAR	-23.8777
ISAN	-23.8612
AJOB	-23.8585
AKEY	-23.7819
AWRY	-23.7162
ANEW	-23.6901
AVOW	-23.6898
TOGO	-23.625
AMSO	-23.4205
ANUN	-23.3922
AMAN	-23.3298
ANOD	-23.0011
ABYE	-22.8451
ATAD	-22.6313
GOTO	-22.3451
ORIT	-22.251
ANOX	-22.1626
ILET	-20.8606
MENO	-20.1344
ISAY	-19.8228
ETON	-19.7313
WHYI	-19.5463
ISAT	-19.5133
TOBE	-19.2813
IBEG	-18.9723
AKID	-18.8281
BESO	-18.2979
AFEW	-18.0404
DEEL	-17.7977
IASK	-17.7339
UPMY	-17.6015
IOWE	-17.494
DIDI	-17.3607
NOWI	-17.1273
IDIE	-16.7849
INRE	-16.5372
DOWE	-15.8571
ISAW	-15.1947
SOIF	-15.0857
DEMI	-14.7534
ONMY	-14.7483
LEOI	-14.7482
ISEE	-14.7444
HOWI	-14.3159
SOSO	-14.2253
ENDE	-14.2228
BIGE	-14.1251
ATLE	-14.1226
IFIT	-14.0776
IHAD	-14.0445
ITUP	-14.0371
SOIT	-14.0002
IMET	-13.9811
TVAD	-13.8406
GOUP	-13.8402
ONCD	-13.7847
MESO	-13.7363
ITIS	-13.6985
IGET	-13.656
MAIN	-13.6528
IFNO	-13.635
BAIN	-13.543
IFHE	-13.3173
ELAL	-13.1787
ACTI	-12.3925
IGOT	-12.2538
IDID	-11.9885
IFWE	-11.944
ITRY	-11.2831
ETLA	-10.9736
WWII	-10.6056
JAYZ	-10.5569
OHMY	-10.5419
WEDO	-10.2661
ISMY	-10.0731
LALA	-9.95701
LINA	-9.55033
LEOX	-8.95532
BEMY	-8.90645
NANA	-8.82598
ICAN	-8.70482
CANI	-8.47613
GOON	-8.41077
